buy	20040227:104000	-0.00786782	83.73	sell	20040301:004600	0.00507941	84.69	損益	0.96	日数	1	-0.00786782
buy	20040301:125000	0.000260967	84.33	sell	20040302:130000	0.00372405	84.63	損益	0.3	日数	2	0.000260967
buy	20040303:010300	-0.00801464	83.67	sell	20040304:131600	-0.00543489	83.08	損益	-0.59	日数	3	-0.00801464
sell	20040305:012200	0.00110477	83.37	buy	20040308:153800	0.0195292	84.99	損益	-1.62	日数	3	0.00110477
sell	20040309:034400	0.0113029	84.82	buy	20040310:040400	-0.00359832	84.18	損益	0.64	日数	2	0.0113029
buy	20040310:161300	-0.0212334	82.88	sell	20040312:041900	-0.0268343	80.8	損益	-2.08	日数	3	-0.0212334
buy	20040312:162200	-0.0167522	80.88	sell	20040316:063400	0.00179967	81.27	損益	0.39	日数	3	-0.0167522
buy	20040316:183700	-0.00406805	80.79	sell	20040318:065700	-0.012309	79.76	損益	-1.03	日数	3	-0.00406805
buy	20040318:185700	-0.00576518	80.02	sell	20040322:090600	0.0014993	80.16	損益	0.14	日数	3	-0.00576518
sell	20040322:210800	0.00504778	80.44	buy	20040323:211600	0.000722977	80.28	損益	0.16	日数	2	0.00504778
buy	20040324:092200	-0.00623204	79.73	sell	20040325:213500	-0.0157263	78.36	損益	-1.37	日数	3	-0.00623204
buy	20040326:094000	-0.012849	78.21	sell	20040329:104300	0.00297914	78.78	損益	0.57	日数	2	-0.012849
sell	20040329:224700	0.00372031	78.78	buy	20040331:105700	0.00075858	79.16	損益	-0.38	日数	3	0.00372031
sell	20040331:230000	0.00663686	79.78	buy	20040401:110700	-0.00254242	79.25	損益	0.53	日数	1	0.00663686
buy	20040401:230800	-0.00057829	79.5	sell	20040402:111300	0.00415145	79.82	損益	0.32	日数	1	-0.00057829
buy	20040405:011900	-0.0060878	79.02	sell	20040406:013100	0.00234485	79.51	損益	0.49	日数	2	-0.0060878
sell	20040406:133600	0.0161506	80.66	buy	20040408:014800	0.0100202	80.84	損益	-0.18	日数	3	0.0161506
sell	20040408:135000	0.00243768	80.6	buy	20040412:040700	0.00410541	81.2	損益	-0.6	日数	3	0.00243768
buy	20040412:161000	-0.00234571	80.81	sell	20040414:042400	-0.0133725	79.83	損益	-0.98	日数	3	-0.00234571
buy	20040414:162600	-0.0128985	79.59	sell	20040415:163300	0.0021963	80.31	損益	0.72	日数	2	-0.0128985
sell	20040416:043700	0.00517079	80.48	buy	20040419:185100	0.00644745	80.86	損益	-0.38	日数	3	0.00517079
buy	20040420:065700	-0.00548916	80.08	sell	20040421:190800	-0.00376599	79.89	損益	-0.19	日数	3	-0.00548916
buy	20040422:071100	-0.00419916	79.68	sell	20040422:191200	0.00701925	80.34	損益	0.66	日数	1	-0.00419916
buy	20040423:071800	-0.000125274	79.82	sell	20040426:212500	-0.00150189	79.78	損益	-0.04	日数	3	-0.000125274
buy	20040427:093300	-0.0011261	79.83	sell	20040427:213300	0.00874558	80.51	損益	0.68	日数	1	-0.0011261
buy	20040428:093600	-0.00170117	79.81	sell	20040429:214300	-0.00536419	79.36	損益	-0.45	日数	3	-0.00170117
buy	20040430:094900	-0.0013802	79.59	sell	20040502:235500	0.00223869	79.69	損益	0.1	日数	1	-0.0013802
buy	20040503:115800	-0.00483118	79.1	sell	20040504:121000	0.00327286	79.7	損益	0.6	日数	2	-0.00483118
sell	20040505:001300	0.00573484	79.97	buy	20040505:121800	-0.00404569	79.27	損益	0.7	日数	1	0.00573484
sell	20040506:002600	0.001635	79.64	buy	20040507:003400	-0.000125377	79.73	損益	-0.09	日数	2	0.001635
buy	20040507:123500	-0.00612005	79.25	sell	20040511:024300	-0.00607496	78.86	損益	-0.39	日数	3	-0.00612005
buy	20040511:144500	-0.00273088	78.88	sell	20040513:025700	0.00304452	79.07	損益	0.19	日数	3	-0.00273088
buy	20040513:145800	0.000608537	78.92	sell	20040517:051000	0.000354895	78.92	損益	0	日数	3	0.000608537
buy	20040517:171300	-0.00405475	78.6	sell	20040519:052600	0.00231712	78.73	損益	0.13	日数	3	-0.00405475
sell	20040519:172700	0.00196138	78.67	buy	20040520:173000	-0.00333787	78.23	損益	0.44	日数	2	0.00196138
buy	20040521:053800	-0.00109492	78.46	sell	20040524:195600	0.00415478	78.79	損益	0.33	日数	3	-0.00109492
sell	20040525:075900	0.00683031	79.01	buy	20040526:201000	0.00235724	79.09	損益	-0.08	日数	3	0.00683031
sell	20040527:081600	0.00445302	79.4	buy	20040528:081900	-0.000807466	79.2	損益	0.2	日数	2	0.00445302
buy	20040530:221900	-0.00706356	78.72	sell	20040601:102300	-0.00474532	78.44	損益	-0.28	日数	3	-0.00706356
buy	20040601:222600	-0.00513974	78.2	sell	20040603:103000	-0.00958178	77.11	損益	-1.09	日数	3	-0.00513974
buy	20040603:223100	-0.0161843	76.35	sell	20040607:003200	0.00514795	77.32	損益	0.97	日数	2	-0.0161843
sell	20040607:123200	0.00239439	77.03	buy	20040609:003900	-0.00518471	76.75	損益	0.28	日数	3	0.00239439
buy	20040609:124000	-0.0160257	75.89	sell	20040611:004600	-0.00508737	75.88	損益	-0.01	日数	3	-0.0160257
sell	20040611:124800	0.00189438	76.16	buy	20040615:025300	-0.00388879	75.82	損益	0.34	日数	3	0.00189438
buy	20040615:145300	-0.00357134	75.89	sell	20040617:025900	-0.0120146	75.16	損益	-0.73	日数	3	-0.00357134
buy	20040617:145900	-0.0115635	74.88	sell	20040621:050200	-0.00658107	74.57	損益	-0.31	日数	3	-0.0115635
sell	20040621:170300	0.00157711	74.94	buy	20040622:050500	-0.00334316	74.53	損益	0.41	日数	1	0.00157711
sell	20040622:170500	0.00272964	74.94	buy	20040623:050900	0.00034748	74.84	損益	0.1	日数	1	0.00272964
buy	20040623:171000	-0.00125692	74.69	sell	20040624:171400	0.00256824	74.95	損益	0.26	日数	2	-0.00125692
sell	20040625:051600	0.00395598	75.12	buy	20040628:191900	0.00708597	75.61	損益	-0.49	日数	3	0.00395598
sell	20040629:072300	0.00611215	75.72	buy	20040629:192300	-0.00838064	74.78	損益	0.94	日数	1	0.00611215
buy	20040630:072600	-0.00459214	75	sell	20040630:192700	0.00799813	75.87	損益	0.87	日数	1	-0.00459214
sell	20040701:072800	0.000742721	75.45	buy	20040702:193600	0.0188992	77.31	損益	-1.86	日数	3	0.000742721
sell	20040705:093900	0.0159811	77.56	buy	20040706:214300	0.00805307	78.11	損益	-0.55	日数	3	0.0159811
sell	20040707:094600	0.00491206	78.15	buy	20040708:214900	0.00365521	78.53	損益	-0.38	日数	3	0.00491206
buy	20040709:095200	-0.00130249	78.21	sell	20040712:115400	0.00293705	78.54	損益	0.33	日数	2	-0.00130249
sell	20040712:235600	0.00771232	78.92	buy	20040714:120000	0.00463362	78.92	損益	0	日数	3	0.00771232
sell	20040715:000200	0.00599529	79.2	buy	20040715:120200	-0.000253649	78.84	損益	0.36	日数	1	0.00599529
sell	20040716:000300	0.00535279	79.26	buy	20040719:140800	0.00113537	79.36	損益	-0.1	日数	3	0.00535279
sell	20040720:021400	0.00158882	79.43	buy	20040720:141400	-0.00599305	78.95	損益	0.48	日数	1	0.00158882
buy	20040721:021800	-0.00700638	78.8	sell	20040722:142400	-0.00408779	78.45	損益	-0.35	日数	3	-0.00700638
buy	20040723:022900	-0.00290159	78.35	sell	20040726:164000	-0.00355326	77.96	損益	-0.39	日数	3	-0.00290159
buy	20040727:044300	-0.000511443	78.16	sell	20040728:164900	0.00123154	78.05	損益	-0.11	日数	3	-0.000511443
sell	20040729:045400	0.000564424	78	buy	20040730:165800	0.00161345	78.22	損益	-0.22	日数	3	0.000564424
buy	20040802:065900	-0.000460579	78.12	sell	20040803:190300	-0.000256059	78.08	損益	-0.04	日数	3	-0.000460579
sell	20040804:070900	0.00240864	78.24	buy	20040805:191300	0.00616937	78.61	損益	-0.37	日数	3	0.00240864
sell	20040806:071600	0.00334747	78.53	buy	20040809:211900	0.00668927	79.16	損益	-0.63	日数	3	0.00334747
sell	20040810:092200	0.00520103	79.24	buy	20040811:092700	-0.00101113	79.04	損益	0.2	日数	2	0.00520103
buy	20040811:212900	0.00017684	79.19	sell	20040813:093700	-0.000656784	79.12	損益	-0.07	日数	3	0.00017684
sell	20040815:233800	0.00265379	79.34	buy	20040817:114300	0.000328008	79.3	損益	0.04	日数	3	0.00265379
buy	20040817:234500	-0.00844788	78.64	sell	20040819:114900	0.00243414	79.07	損益	0.43	日数	3	-0.00844788
sell	20040819:235200	0.0056326	79.27	buy	20040823:015500	-0.00136853	78.81	損益	0.46	日数	2	0.0056326
sell	20040823:135600	0.00139351	79.05	buy	20040824:015800	-0.0111043	78.19	損益	0.86	日数	1	0.00139351
buy	20040824:140000	-0.014704	77.73	sell	20040826:020600	-0.00438398	77.67	損益	-0.06	日数	3	-0.014704
buy	20040826:141000	-0.00843882	77.08	sell	20040830:041500	-0.0056348	76.94	損益	-0.14	日数	3	-0.00843882
buy	20040830:161500	-0.00518072	76.81	sell	20040901:042000	0.000259939	76.96	損益	0.15	日数	3	-0.00518072
sell	20040901:162000	0.00215828	77.08	buy	20040902:042400	-0.00332699	76.69	損益	0.39	日数	1	0.00215828
buy	20040902:162400	-0.00936043	76.2	sell	20040906:062700	-0.0035011	76.28	損益	0.08	日数	3	-0.00936043
buy	20040906:182800	-0.00212061	76.23	sell	20040908:063600	-0.00732305	75.64	損益	-0.59	日数	3	-0.00212061
buy	20040908:183700	-0.000236601	76.05	sell	20040910:064000	0.00171574	75.9	損益	-0.15	日数	3	-0.000236601
sell	20040910:184100	0.00578121	76.2	buy	20040914:084400	0.0103027	76.88	損益	-0.68	日数	3	0.00578121
sell	20040914:204800	0.00720084	76.93	buy	20040915:205300	-0.00245148	76.5	損益	0.43	日数	2	0.00720084
buy	20040916:085600	-0.00456262	76.36	sell	20040917:085800	0.00391598	76.91	損益	0.55	日数	2	-0.00456262
sell	20040919:225800	0.00211462	76.77	buy	20040921:110100	0.00424569	77.11	損益	-0.34	日数	3	0.00211462
sell	20040921:230200	0.00436971	77.23	buy	20040923:110700	0.0207085	79.06	損益	-1.83	日数	3	0.00436971
sell	20040923:231000	0.0147682	79.02	buy	20040927:131300	0.00878639	79.45	損益	-0.43	日数	3	0.0147682
sell	20040928:011700	0.00491067	79.4	buy	20040929:132200	-0.000452968	79.45	損益	-0.05	日数	3	0.00491067
buy	20040930:012400	-0.00150751	79.48	sell	20040930:132400	0.000828985	79.68	損益	0.2	日数	1	-0.00150751
sell	20041001:012600	0.00291209	79.9	buy	20041004:152700	0.00270895	79.95	損益	-0.05	日数	3	0.00291209
sell	20041005:033000	0.000977088	79.91	buy	20041006:153600	0.00504392	80.5	損益	-0.59	日数	3	0.000977088
sell	20041007:033900	0.00408809	80.56	buy	20041008:034200	-7.45168e-05	80.53	損益	0.03	日数	2	0.00408809
buy	20041008:154200	-0.000446858	80.53	sell	20041012:055100	-0.00278453	80.22	損益	-0.31	日数	3	-0.000446858
buy	20041012:175300	-0.000996058	80.24	sell	20041014:055800	-0.00772036	79.43	損益	-0.81	日数	3	-0.000996058
sell	20041014:175900	0.00100109	79.99	buy	20041015:180300	-0.000150309	79.8	損益	0.19	日数	2	0.00100109
sell	20041018:080800	0.00173017	79.9	buy	20041018:200800	-0.0067146	79.29	損益	0.61	日数	1	0.00173017
buy	20041019:081200	-0.00744421	79.2	sell	20041020:202200	0.00262392	79.48	損益	0.28	日数	3	-0.00744421
sell	20041021:082600	0.00383903	79.49	buy	20041021:202900	0.000403926	79.26	損益	0.23	日数	1	0.00383903
sell	20041022:083300	0.0011358	79.33	buy	20041025:223800	0.00435414	79.81	損益	-0.48	日数	3	0.0011358
sell	20041026:103800	0.00299245	79.77	buy	20041027:103900	0.00037633	79.74	損益	0.03	日数	2	0.00299245
buy	20041027:224200	-0.00461456	79.38	sell	20041029:104800	-0.00226645	79.24	損益	-0.14	日数	3	-0.00461456
buy	20041101:015000	-5.04369e-05	79.32	sell	20041101:135000	0.0011358	79.33	損益	0.01	日数	1	-5.04369e-05
buy	20041102:015100	-0.000328146	79.21	sell	20041103:135800	0.0128723	80.26	損益	1.05	日数	3	-0.000328146
sell	20041104:020400	0.0110295	80.3	buy	20041105:140600	0.0049485	80.42	損益	-0.12	日数	3	0.0110295
buy	20041108:040600	-0.00179297	80.17	sell	20041109:161100	0.00122258	80.26	損益	0.09	日数	3	-0.00179297
sell	20041110:041300	0.00269446	80.38	buy	20041111:161700	0.00923119	81.34	損益	-0.96	日数	3	0.00269446
sell	20041112:042100	0.00173093	81.02	buy	20041115:062400	-0.00236507	80.99	損益	0.03	日数	2	0.00173093
sell	20041115:182600	0.00359842	81.44	buy	20041116:062800	-4.92437e-05	81.18	損益	0.26	日数	1	0.00359842
sell	20041116:182800	0.0051013	81.57	buy	20041117:183200	-0.000196658	81.33	損益	0.24	日数	2	0.0051013
buy	20041118:063300	-0.00211273	81.24	sell	20041119:183900	-0.00507376	80.79	損益	-0.45	日数	3	-0.00211273
buy	20041122:084200	-0.00491002	80.66	sell	20041123:204600	0.00507674	81.17	損益	0.51	日数	3	-0.00491002
sell	20041124:084700	0.00608854	81.3	buy	20041125:205800	0.000839015	81.12	損益	0.18	日数	3	0.00608854
buy	20041126:090200	-0.00162697	81	sell	20041129:230800	-0.00580175	80.54	損益	-0.46	日数	3	-0.00162697
buy	20041130:111000	-0.0161929	79.59	sell	20041201:231600	-0.00237501	79.81	損益	0.22	日数	3	-0.0161929
buy	20041202:111700	-0.000375877	79.78	sell	20041202:231800	0.0035654	79.94	損益	0.16	日数	1	-0.000375877
sell	20041203:112000	0.00180625	79.87	buy	20041206:012100	0.000250743	79.8	損益	0.07	日数	1	0.00180625
buy	20041206:132100	-0.00418368	79.5	sell	20041207:132700	0.00162987	79.89	損益	0.39	日数	2	-0.00418368
buy	20041208:012900	-0.00526643	79.33	sell	20041209:133400	-0.00753545	78.76	損益	-0.57	日数	3	-0.00526643
buy	20041210:013700	-0.00287991	78.94	sell	20041210:133700	0.00139296	79.08	損益	0.14	日数	1	-0.00287991
sell	20041213:033700	0.00101358	79.01	buy	20041214:154300	0.00686638	79.77	損益	-0.76	日数	3	0.00101358
sell	20041215:034400	0.00322405	79.66	buy	20041216:154600	-0.011291	78.81	損益	0.85	日数	3	0.00322405
buy	20041217:034800	-0.000729305	79.47	sell	20041220:055000	0.00516701	79.76	損益	0.29	日数	2	-0.000729305
buy	20041220:175200	-0.000378019	79.34	sell	20041221:055400	0.00532172	79.72	損益	0.38	日数	1	-0.000378019
sell	20041221:175500	0.00515852	79.89	buy	20041222:175700	-0.00248439	79.5	損益	0.39	日数	2	0.00515852
buy	20041223:060000	-0.000401807	79.61	sell	20041224:180800	0.000753871	79.65	損益	0.04	日数	3	-0.000401807
sell	20041227:081100	0.00605774	80.05	buy	20041228:201900	0.00430077	80.33	損益	-0.28	日数	3	0.00605774
sell	20041229:082100	0.00426819	80.47	buy	20041229:202200	-0.000274039	80.27	損益	0.2	日数	1	0.00426819
buy	20041230:082800	0.000497976	80.37	sell	20050103:203300	-0.00331399	80	損益	-0.37	日数	3	0.000497976
buy	20050104:083400	-0.00264433	79.96	sell	20050105:203500	-0.00482703	79.58	損益	-0.38	日数	3	-0.00264433
